"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2023","323,699","323,699","323,699","323,699","5.48M","-0.29%"
"09/01/2023","324,638","324,638","324,638","324,638","9.26M","0.90%"
"08/31/2023","321,732","321,732","321,732","321,732","18.68M","0.44%"
"08/25/2023","320,330","320,330","320,330","320,330","10.57M","-1.20%"
"08/21/2023","324,224","324,224","324,224","324,224","9.80M","1.30%"
"08/18/2023","320,071","320,071","320,071","320,071","10.26M","-0.21%"
"08/17/2023","320,756","320,756","320,756","320,756","5.51M","-0.14%"
"08/16/2023","321,213","321,213","321,213","321,213","27.24M","-0.06%"
"08/15/2023","321,406","321,406","321,406","321,406","12.62M","-0.26%"
"08/14/2023","322,252","322,252","322,252","322,252","10.93M","0.32%"
